suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,23,L3,0.9682711855745252,0.23687519847923474,4.9831983660605506,1.0,2.0,1.0,0.12544355866008441,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,24,L3,0.6135639850462887,4.717262184133955,4.717262184133955,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,24,L3,0.7546262427046468,2.435389832403097,4.717262184133955,0.0,1.0,1.0,0.07053112882917906,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,24,L3,0.9713849479443495,0.2206355299646333,4.717262184133955,1.0,2.0,1.0,0.11927365429935359,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,24,L3,0.9713849479443495,0.2206355299646333,4.717262184133955,1.0,2.0,1.0,0.11927365429935359,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,25,L3,0.6164513356829571,5.437065196456918,5.437065196456918,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,25,L3,0.8045784338288702,2.122496418323998,5.437065196456918,0.0,1.0,1.0,0.09406354907295655,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,25,L3,0.9770049074009018,0.20567489372607017,5.437065196456918,1.0,2.0,1.0,0.1201845239059816,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,25,L3,0.9770049074009018,0.20567489372607017,5.437065196456918,1.0,2.0,1.0,0.1201845239059816,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,26,L3,0.6231849294068352,4.244582606774509,4.244582606774509,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,26,L3,0.7895340895567867,1.871261767897823,4.244582606774509,0.0,1.0,1.0,0.08317458007497575,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,26,L3,0.9681781812180161,0.23072432035379953,4.244582606774509,1.0,2.0,1.0,0.11499775060372697,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,26,L3,0.9681781812180161,0.23072432035379953,4.244582606774509,1.0,2.0,1.0,0.11499775060372697,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,27,L3,0.5949572824042388,4.601491239067544,4.601491239067544,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,27,L3,0.7407517308102101,2.365520666819408,4.601491239067544,0.0,1.0,1.0,0.07289722420298561,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,27,L3,0.9625419045000935,0.26303261513643006,4.601491239067544,1.0,2.0,1.0,0.12252820736528487,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,27,L3,0.9625419045000935,0.26303261513643006,4.601491239067544,1.0,2.0,1.0,0.12252820736528487,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,28,L3,0.623097940381656,3.802609091487461,3.802609091487461,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,28,L3,0.7335253121545986,2.283759381882196,3.802609091487461,0.0,1.0,1.0,0.0552136858864713,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,28,L3,0.9675498613494956,0.21083984532704358,3.802609091487461,1.0,2.0,1.0,0.11481730698927987,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,28,L3,0.9675498613494956,0.21083984532704358,3.802609091487461,1.0,2.0,1.0,0.11481730698927987,37
