suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates,auc,selected_feature
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,13,real,0.8775236556559805,0.13957041904752318,0.27263649863736866,1.0,1.0,1.0,0.045876663419019026,29,0.989952718676123,worst smoothness
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,14,real,0.7842020363797102,0.275181590469373,0.275181590469373,0.0,0.0,0.0,0.0,29,0.9405405405405405,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,14,real,0.8953551888887237,0.11687519367722331,0.275181590469373,1.0,1.0,1.0,0.05557657625450674,29,0.9921921921921922,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,14,real,0.8953551888887237,0.11687519367722331,0.275181590469373,1.0,1.0,1.0,0.05557657625450674,29,0.9921921921921922,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,14,real,0.8953551888887237,0.11687519367722331,0.275181590469373,1.0,1.0,1.0,0.05557657625450674,29,0.9921921921921922,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,14,real,0.8953551888887237,0.11687519367722331,0.275181590469373,1.0,1.0,1.0,0.05557657625450674,29,0.9921921921921922,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Fixed-Frame,15,real,0.7885304837974618,0.26818178947772314,0.26818178947772314,0.0,0.0,0.0,0.0,29,0.9574042309891366,none
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Flat-Search,15,real,0.8604275916527488,0.16221284591670762,0.26818178947772314,1.0,1.0,1.0,0.03594855392764351,29,0.9834190966266438,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,MDL-Flat,15,real,0.8604275916527488,0.16221284591670762,0.26818178947772314,1.0,1.0,1.0,0.03594855392764351,29,0.9834190966266438,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,EIC-Greedy,15,real,0.8604275916527488,0.16221284591670762,0.26818178947772314,1.0,1.0,1.0,0.03594855392764351,29,0.9834190966266438,worst concave points
realdata,breast_cancer_wisconsin,real_data_variable_addition,False,Oracle,15,real,0.8604275916527488,0.16221284591670762,0.26818178947772314,1.0,1.0,1.0,0.03594855392764351,29,0.9834190966266438,worst concave points
